region,year,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_2_1,C_2_2,C_2_3,C_2_4,C_2_5,C_2_6,C_2_7,C_2_8,C_3_1,C_3_2,C_3_3,C_3_4,C_3_5,C_3_6,C_3_7,C_3_8,C_4_1,C_4_2,C_4_3,C_4_4,C_4_5,C_4_6,C_4_7,C_4_8,C_5_1,C_5_2,C_5_3,C_5_4,C_5_5,C_5_6,C_5_7,C_5_8,S_1_1,S_1_2,S_1_3,S_1_4,S_1_5,S_1_6,S_1_7,S_1_8,RS_1_D,RS_1_N,RS_1_b1,RS_1_b2,RS_1_b7,RS_2_D,RS_2_N,RS_2_b1,RS_2_b2,RS_2_b7,RS_3_D,RS_3_N,RS_3_b1,RS_3_b2,RS_3_b7,RS_4_D,RS_4_N,RS_4_b1,RS_4_b2,RS_4_b7,RS_5_D,RS_5_N,RS_5_b1,RS_5_b2,RS_5_b7,RS_6_D,RS_6_N,RS_6_b1,RS_6_b2,RS_6_b7,RS_7_D,RS_7_N,RS_7_b1,RS_7_b2,RS_7_b7,RS_8_D,RS_8_N,RS_8_b1,RS_8_b2,RS_8_b7,yield,yield_tha
0,2001,12.5,16.5,11.5,4.8,1.5,6.1,1.3,0.1,-0.57,3.33,4.52,3.3,2.34,2.37,1.53,0.97,13.2,17.4,12.1,5.0,1.6,6.5,1.4,0.1,28.8,25.37,20.83,19.8,20.43,26.46,28.34,31.99,17.43,14.13,10.49,8.6,9.01,13.78,14.28,17.96,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15136.29318,14447.46664,1048.965955,2288.062105,2534.362551,14888.51156,14280.54821,775.2930574,2211.891337,1074.637739,14672.81117,14093.19832,625.5851691,2866.699015,870.6515076,14626.85757,14004.62412,597.4471796,3505.027036,852.8950268,14676.35572,14015.29573,590.2800957,3737.56289,855.1191311,14973.66802,14245.66105,655.216344,3288.733089,935.8694092,15189.6204,14324.11515,911.7533379,2545.003189,1207.380878,15429.90512,14501.20425,1179.563251,2291.069871,1444.402231,2.639999852,6.283199647759999
0,2002,0.6,0.8,1.6,17.4,7.7,0.5,1.6,0.2,-1.68,-2.5,-2.9,-1.13,2.09,0.87,-1.4,-1.57,0.6,0.8,1.7,18.3,8.1,0.5,1.6,0.2,29.75,24.8,20.38,17.54,21.81,25.1,26.71,31.26,18.34,14.24,10.06,6.89,9.65,13.04,13.85,16.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15157.10733,14481.69012,963.6972852,2221.849666,1275.176747,14800.15081,14223.08025,897.4314269,2485.9081,1056.950638,14607.56655,14001.09826,598.8348353,2839.151007,870.3368658,14500.83928,13963.03402,557.468903,3265.809079,767.1952326,14669.50599,14059.95009,630.3616767,3887.963841,916.9966065,14846.96242,14127.33588,1308.885597,3681.163357,1220.79022,15108.22362,14234.73492,999.5939403,2798.202159,1156.642338,15458.82428,14506.4638,1224.007677,2554.760486,1521.610119,2.685,6.3903
0,2003,5.0,0.2,5.4,3.2,3.7,8.0,1.5,0.0,-0.8,-1.89,-1.55,-2.59,-2.55,-1.4,-1.84,-2.08,5.3,0.2,5.7,3.3,3.9,8.4,1.6,0.0,30.8,26.2,20.82,20.58,19.23,21.5,27.47,33.75,18.63,15.08,10.96,9.97,8.37,10.05,14.09,18.97,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15188.40183,14507.45585,988.8713173,2265.324677,1317.822074,14909.06763,14255.74134,740.7399496,2305.592382,1079.031932,14653.28876,14106.65224,595.8984201,2710.755841,879.8794504,14591.63081,14043.05663,549.2453549,3366.573431,814.9103527,14562.15933,13992.19645,688.7594293,3958.11329,958.20825,14783.71995,14098.51414,726.8863206,3538.719737,924.5342959,15069.27813,14236.73032,891.3830663,2888.484869,1130.44285,15478.26742,14546.91481,1160.640688,2375.453021,1457.809858,2.869499399,6.82940856962
0,2004,0.0,2.2,6.7,14.4,4.6,2.4,0.4,0.9,-2.15,-2.76,-2.07,-1.22,-1.03,-1.46,-2.11,-2.02,0.0,2.3,7.0,15.1,4.9,2.6,0.4,1.0,30.7,25.98,20.63,19.1,20.81,25.17,27.54,32.04,18.55,14.95,10.15,8.55,9.05,12.19,13.47,17.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15202.62823,14515.97601,1008.314041,2196.839542,1318.878839,14836.41372,14271.38309,720.6694111,2504.001706,1039.844348,14614.65259,14051.52736,661.2221573,3000.646279,968.5021417,14502.92869,13986.28737,582.4932966,3334.655875,863.8961393,14641.21115,14076.20332,638.1273921,3945.944148,914.4576102,14821.1239,14115.51013,679.2892468,3437.450212,930.4772754,15122.85018,14286.86206,1040.756972,3030.183801,1294.044392,15375.16309,14470.95215,1255.985592,2434.022836,1569.579217,2.887499432,6.872248648159999
0,2005,0.0,5.6,2.9,8.5,1.8,9.7,3.2,0.0,-2.1,-2.17,-2.34,-2.47,-2.77,-1.32,-1.32,-1.57,0.0,5.9,3.1,8.9,1.9,10.2,3.4,0.0,30.78,25.81,20.82,20.02,20.3,24.22,27.84,31.4,18.95,15.35,9.44,8.73,8.87,11.6,14.07,16.65,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15227.24699,14547.89132,970.3170228,2191.010547,1345.476079,14856.97035,14283.63357,672.7596054,2306.989356,990.6199005,14658.25561,14069.82727,601.9115488,2761.593847,893.5307354,14540.60247,14011.89151,521.7956164,3397.140298,803.8928572,14635.622,14027.46986,621.3103304,3810.348214,918.4594459,14798.15749,14083.72181,693.6775979,3514.471407,875.0041444,15071.57269,14282.81705,1014.45557,3090.161734,1213.7579,15477.1387,14499.53617,1248.402537,2608.604974,1635.483478,2.809808029,6.6873431090199995
0,2006,0.2,0.9,1.2,2.2,4.8,6.5,14.6,0.0,-1.87,-2.64,-3.07,-4.01,-3.45,-2.65,2.97,2.29,0.2,0.9,1.3,2.3,5.0,6.8,15.3,0.0,29.54,24.48,22.08,19.13,20.96,25.04,28.1,31.62,17.71,13.35,10.46,8.15,9.54,11.6,14.1,16.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15130.00109,14427.47294,1006.120094,2193.119649,1367.470204,14853.42566,14225.97033,776.3722371,2299.137739,1067.428534,14651.49948,14055.06388,577.3247108,2903.941366,901.0877281,14522.82819,13960.83592,514.9161938,3394.038774,810.5300401,14643.4054,14030.00352,656.8012906,4135.29773,961.4830607,14817.42262,14140.1972,732.7710559,3806.636571,973.6970962,15077.33054,14277.05719,1013.338896,3024.34394,1215.608701,15482.99276,14497.83762,1076.531876,2347.59446,1374.65543,2.823644759,6.72027452642
0,2007,1.3,0.2,2.8,3.0,7.6,2.5,6.1,0.6,0.66,-1.87,-2.1,-3.07,-1.99,-2.29,-1.54,-1.59,1.3,0.2,3.0,3.2,8.0,2.7,6.4,0.7,30.22,24.0,20.37,19.04,20.76,24.0,26.87,32.78,18.93,12.98,8.39,7.59,9.74,11.42,13.44,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15144.70696,14480.25398,1000.91413,2227.893191,1370.765287,14851.27966,14205.51497,709.8714953,2373.766058,1048.260978,14607.04075,14036.3993,609.9711282,2913.625612,914.327826,14535.31739,13975.19389,617.0948209,3573.262406,861.4726023,14648.68994,14062.14286,530.8020138,3739.156932,813.2079996,14796.02962,14121.09661,836.5905929,3624.454273,1014.910242,15023.38063,14248.19407,944.2199229,3192.331071,1206.625834,15438.39148,14534.29211,1217.99975,2577.598882,1545.373804,2.69099959,6.4045790242
0,2008,5.6,2.8,1.2,10.6,5.5,0.3,1.0,0.0,-0.7,-1.26,-1.91,-1.59,-1.12,-2.11,-2.57,-2.7,5.9,3.0,1.2,11.2,5.8,0.3,1.1,0.0,31.03,25.94,21.31,17.42,20.07,27.56,29.41,32.06,19.1,14.88,9.99,6.88,7.75,13.7,14.69,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15210.69879,14546.93518,982.2140856,2289.330975,1294.154984,14861.08481,14252.25531,719.7552292,2278.00356,1018.364337,14684.22602,14068.79007,576.3941366,2629.639853,869.1456943,14491.78035,13934.39731,515.5876725,3149.932021,780.3243491,14595.63782,13992.35019,622.3284657,3771.568174,883.7006843,14943.12679,14201.16628,610.4667334,3450.124277,869.3139742,15140.27029,14338.3317,1115.364449,2992.41166,1233.081628,15468.69916,14527.66919,1301.169671,2651.473409,1606.076129,2.535444848,6.03435873824
0,2009,10.9,0.2,1.1,0.2,6.2,0.0,0.0,0.0,1.41,-1.2,-2.04,-3.66,-3.01,-3.76,-4.27,-4.23,11.4,0.2,1.1,0.2,6.5,0.0,0.0,0.0,29.57,26.54,22.97,21.11,22.18,23.47,28.99,32.08,18.24,15.32,11.33,9.27,10.39,10.99,14.6,18.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15113.93665,14481.59987,1188.346729,2441.571429,1431.679328,14910.16839,14271.77318,741.9129209,2340.224447,1031.920709,14687.07986,14117.01395,909.4905986,2969.007844,1119.494131,14551.97896,14012.5156,600.31581,3379.160715,831.9225078,14651.97379,14051.84262,590.2093903,3599.999972,850.9916278,14821.89491,14124.77433,691.8649032,3378.447236,876.1549288,15134.47777,14287.04351,1075.385477,3027.497886,1324.043206,15445.56391,14491.37403,1148.586338,2363.55435,1430.126752,2.515500161,5.9868903831799996
0,2010,0.0,0.0,6.5,1.7,5.7,0.2,0.0,0.0,-3.47,-4.37,-3.73,-4.96,-4.28,-5.02,-5.4,-5.24,0.0,0.0,6.8,1.8,6.0,0.3,0.0,0.0,32.35,25.85,22.87,21.56,23.42,26.54,29.07,32.74,20.32,14.82,11.83,10.61,12.0,14.03,14.91,18.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15183.29361,14513.82556,1006.373676,2260.971473,1333.717,14922.11736,14277.11268,716.9157395,2325.248405,1006.179684,14686.71839,14135.61131,604.1182132,2732.577937,898.5206942,14621.47587,14057.95554,618.0016411,3446.292001,896.6994048,14683.1529,14144.97932,792.0744326,3831.226663,987.4040944,14925.90056,14227.95652,856.0727359,2987.202993,1098.803906,15236.81245,14335.37837,1119.800734,2708.620642,1383.442071,15474.96077,14550.03689,1158.520249,2268.453605,1449.769081,2.317501119,5.51565266322
