Year,State,County,loc_ID,x,y,e_1_1,e_1_2,e_1_3,e_1_4,e_1_5,e_1_6,e_1_7,e_1_8,e_2_1,e_2_2,e_2_3,e_2_4,e_2_5,e_2_6,e_2_7,e_2_8,e_3_1,e_3_2,e_3_3,e_3_4,e_3_5,e_3_6,e_3_7,e_3_8,e_4_1,e_4_2,e_4_3,e_4_4,e_4_5,e_4_6,e_4_7,e_4_8,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,rs_1_1,rs_1_2,rs_1_3,rs_1_4,rs_1_5,rs_1_6,rs_2_1,rs_2_2,rs_2_3,rs_2_4,rs_2_5,rs_2_6,rs_3_1,rs_3_2,rs_3_3,rs_3_4,rs_3_5,rs_3_6,rs_4_1,rs_4_2,rs_4_3,rs_4_4,rs_4_5,rs_4_6,rs_5_1,rs_5_2,rs_5_3,rs_5_4,rs_5_5,rs_5_6,yield
2003,INDIANA,ADAMS,1,-84.93705398,40.74562106,47.6,32.1,1.2,0,0,38.4,76.2,90.4,48.5,68.4,57,32.8,55,59.6,60.8,166.5,15.44,7.59,2.17,-3.2,-1.28,9.44,16.14,19.78,4.97,-0.23,-4.93,-11.05,-9.71,-2.46,3.96,9.11,9,41.8,45.7,45.7,45.7,65.4,52.7,65.4,14808,14881,15185.25,15054.5,15029,14796.5,13876,14180.25,14483.75,14612.75,14544,14189.25,1151,956.5,914,435.75,306.25,625.75,2080.25,2536.5,2692,5048.5,4443,2726.75,2570.25,2043.5,2139.75,1157,744.75,1034.75,73.1
2004,INDIANA,ADAMS,1,-84.93705398,40.74562106,62.1,34.3,3.9,0,0,38.3,68.1,106.1,57.2,80.2,62.4,67.2,15.2,64.9,32.3,147.8,16.98,11.73,3.17,-1.99,2.03,9.67,16.63,23.29,4.43,2.38,-3.54,-10.2,-7.31,0.38,4.41,11.59,57.6,65.4,65.4,65.4,65.4,65.4,29.7,64,14805.5,14966.5,15024.25,14980,14942.25,14922,13874,14445,14466,14621.5,14317.5,14222,1167.75,1123.5,636.5,331,332,973.5,2207.75,2395.25,3751.25,4505.75,4752.75,2783.25,2597.25,2323,1521,790.25,787.25,1548.75,70
2005,INDIANA,ADAMS,1,-84.93705398,40.74562106,59.7,33.2,0.8,0,1.4,19.6,95.2,81.9,59.1,102.1,68,124.2,57.1,41.8,84.2,42.7,17.38,10.59,2.81,0.32,3.23,5.97,17.13,20.32,5.83,2.28,-5.7,-7.43,-5.11,-4,4.45,7.38,19.3,65.4,65.4,65.4,65.4,65.4,65.4,24.1,14749.5,15042,15230.5,15235.75,15166.5,14971.25,14010.75,14097,14562.75,14690.5,14555,14414.25,986.5,1477.25,638.25,446.5,469.75,1028,1913.25,2948.75,3901.5,4170,3258.25,2374.75,2362,3926.25,1728,909.25,833.75,1807.5,78.8
2006,INDIANA,ADAMS,1,-84.93705398,40.74562106,38.8,46.5,0,18.5,1.2,40.3,97.5,109.4,39,95,63,65.9,44.9,63.9,102.7,128.3,17.64,11.36,-0.57,6.21,2.92,8.06,18.14,20.77,6.59,0.47,-6.88,-1.35,-6.42,-1.71,5.25,9.43,9.5,53.2,53.2,65.4,65.4,65.4,65.4,65.4,14857.75,14835.75,15167.75,15229.75,15119.25,14995.5,14001.75,14330.5,14520.75,14666.25,14511.5,14330,1246.25,1925.75,932,466,496.25,918.5,2335.75,3115.25,3602,4898.75,4197.5,2809.25,2859,2477.5,2231.75,1205.75,1020.75,1715,70.6
2007,INDIANA,ADAMS,1,-84.93705398,40.74562106,63.6,34.9,26.2,0.8,0,44.3,86.5,72.6,119.6,55.8,115.1,122.6,45.3,113.3,95.6,32.9,15.38,10.67,6.73,2.23,-4.14,11.76,14.44,25.06,4.09,1.45,-1.58,-4.84,-13.08,0.82,3.1,11.12,64,65.4,65.4,65.4,65.4,65.4,65.4,24.1,14605.5,14694.75,15123,15098.75,15188,15118,13931.75,14388.25,14495.5,14553.25,14619.5,14387.75,1162.5,1873.5,660.25,362.75,522,1298,2244.75,3179,3577.25,5067,4136.75,2601.5,2568.5,3386.25,1727.25,829,1010,2094,59.6
2008,INDIANA,ADAMS,1,-84.93705398,40.74562106,68.3,43.9,2,0,0,28.4,90.3,119.7,61.9,98.1,108,61.6,130.7,119.3,71.5,121.1,21.03,9.7,2.72,1.3,0.33,6.25,16.87,20.16,9.29,0.11,-3.99,-7.85,-8.2,-2.73,4.22,8.02,28.5,65.4,65.4,65.4,65.4,65.4,65.4,60.7,14593.75,14855.75,15101.75,15097.5,14975.25,14796.75,14018.5,14065.75,14532.25,14621.25,14539,14257.25,1333.25,1035.75,978,512.25,320.25,527,2344.5,2166.5,2611.25,3761.75,4657.75,3171.5,2768.5,2296.75,2197,1273,835.25,962.75,71
2009,INDIANA,ADAMS,1,-84.93705398,40.74562106,47.6,37.4,0,0,0.9,59.1,83.6,104.3,47.7,47.7,121.6,33.6,74,106.1,138.9,76.6,17.78,8.47,2.66,-3.21,3.3,11.45,15.54,22.18,4.73,-0.72,-6.73,-12.61,-6.63,-1.12,4.25,9.68,10.6,18.5,18.5,18.5,29.2,65.4,65.4,33.8,14409.5,14941.25,15061,14901.5,14893,14769.5,13791.75,14255.5,14599,14526.75,14459.25,14258,1965.75,1047,893,759,321.75,598.25,2796,2410.25,2682.25,3698.75,4710.25,3519,2315,2198.25,1919.5,1232.25,760,961.25,76.5
2010,INDIANA,ADAMS,1,-84.93705398,40.74562106,61.2,35.3,1.2,0,0,48.5,94.2,112.7,130.4,29.9,69.4,23,39.1,82.5,71.2,138.2,14.74,12.16,1.91,-1.64,-1.03,11.02,19.64,23.02,4.62,2.51,-5,-8.35,-8,-0.27,6.28,11.88,65.4,58.4,62.8,62.8,62.8,65.4,40.4,59,14725.25,15018.75,15111.25,15050,15063.25,14897.5,14085,14286,14595,14774.75,14622.5,14292.25,1224.5,1230.75,812.5,765.5,495,885.5,2200.75,2403.75,2703.5,3505.25,3762.5,3065.25,2189.5,2880,1748.5,1357.25,1124,1502.25,55.2
2011,INDIANA,ADAMS,1,-84.93705398,40.74562106,29.7,46.3,0,0,0,44,74.1,93.7,28.8,113,23.7,41.4,101.1,89.7,174.9,137.8,19.62,11.57,-1.2,-2.43,1.62,8.24,16.06,21.72,5.88,-0.69,-7.55,-9.74,-7.12,-1.66,4.76,11.24,10.6,65.4,65.4,65.4,65.4,65.4,65.4,65.4,14729.25,14974.75,14946,15154.5,15152.75,14968.75,13931.25,14315.5,14660.5,14783.5,14584.5,14097.75,1138.25,924.5,846.5,404.5,546.5,1384.25,2347.75,2069.75,3380.75,4178.5,4020,2677.75,2423.25,2218.5,1598.5,882,1029.25,2199,57.6
2012,INDIANA,ADAMS,1,-84.93705398,40.74562106,74.2,46.2,19.4,1.2,7.9,66.1,83.9,61.3,83.5,149.6,109.4,77.2,41.7,82.4,58.5,47.7,17.87,12.43,5.47,3.2,4.82,15.7,16.54,25.76,5.58,3.07,-1.44,-5.47,-3.92,4.07,3.71,12.48,65.4,65.4,65.4,65.4,65.4,65.4,37,21,14835.75,15187.25,15339.75,15424.75,15326.75,14869.25,14067.75,14401.75,14543,14743.5,14483.25,14139.5,1426,1465.25,928.5,633.5,471.75,906.5,2680.75,2920.5,3396.75,3971,3350,2489.5,3632.5,3346.75,2121.25,1476.5,1063,1931.5,74.7
