Year,loc_ID,x,y,e_1_1,e_1_2,e_1_3,e_1_4,e_1_5,e_1_6,e_1_7,e_1_8,e_2_1,e_2_2,e_2_3,e_2_4,e_2_5,e_2_6,e_2_7,e_2_8,e_3_1,e_3_2,e_3_3,e_3_4,e_3_5,e_3_6,e_3_7,e_3_8,e_4_1,e_4_2,e_4_3,e_4_4,e_4_5,e_4_6,e_4_7,e_4_8,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,rs_1_1,rs_1_2,rs_1_3,rs_1_4,rs_1_5,rs_1_6,rs_1_7,rs_1_8,rs_2_1,rs_2_2,rs_2_3,rs_2_4,rs_2_5,rs_2_6,rs_2_7,rs_2_8,rs_3_1,rs_3_2,rs_3_3,rs_3_4,rs_3_5,rs_3_6,rs_3_7,rs_3_8,rs_4_1,rs_4_2,rs_4_3,rs_4_4,rs_4_5,rs_4_6,rs_4_7,rs_4_8,rs_5_1,rs_5_2,rs_5_3,rs_5_4,rs_5_5,rs_5_6,rs_5_7,rs_5_8,yield
2003,1,-84.93705398,40.74562106,47.6,32.1,1.2,0,0,38.4,76.2,90.4,48.5,68.4,57,32.8,55,59.6,60.8,166.5,15.44,7.59,2.17,-3.2,-1.28,9.44,16.14,19.78,4.97,-0.23,-4.93,-11.05,-9.71,-2.46,3.96,9.11,9,41.8,45.7,45.7,45.7,65.4,52.7,65.4,293.14,292.62,301.05,301.09,300.58,295.93,299.1616666,299.1780952,277.52,283.605,289.675,292.255,290.88,283.785,295.93,287.6642858,0.1151,0.09565,0.0914,0.043575,0.030625,0.062575,0.100716667,0.077091667,0.208025,0.25365,0.2692,0.50485,0.4443,0.272675,0.243625,0.407275,0.257025,0.20435,0.213975,0.1157,0.074475,0.103475,0.225116667,0.097883333,73.1
2004,1,-84.93705398,40.74562106,62.1,34.3,3.9,0,0,38.3,68.1,106.1,57.2,80.2,62.4,67.2,15.2,64.9,32.3,147.8,16.98,11.73,3.17,-1.99,2.03,9.67,16.63,23.29,4.43,2.38,-3.54,-10.2,-7.31,0.38,4.41,11.59,57.6,65.4,65.4,65.4,65.4,65.4,29.7,64,292.11,291.33,300.485,299.6,298.845,298.44,298.6416666,298.7788096,277.48,288.9,289.32,292.43,286.35,284.44,298.44,288.1942858,0.116775,0.11235,0.06365,0.0331,0.0332,0.09735,0.097591667,0.079145238,0.220775,0.239525,0.375125,0.450575,0.475275,0.278325,0.278475,0.401391667,0.259725,0.2323,0.1521,0.079025,0.078725,0.154875,0.214708333,0.104208333,70
2005,1,-84.93705398,40.74562106,59.7,33.2,0.8,0,1.4,19.6,95.2,81.9,59.1,102.1,68,124.2,57.1,41.8,84.2,42.7,17.38,10.59,2.81,0.32,3.23,5.97,17.13,20.32,5.83,2.28,-5.7,-7.43,-5.11,-4,4.45,7.38,19.3,65.4,65.4,65.4,65.4,65.4,65.4,24.1,293.79,300.84,304.61,304.715,303.33,299.425,300.1466666,301.1509524,280.215,281.94,291.255,293.81,291.1,288.285,299.425,289.4328572,0.09865,0.147725,0.063825,0.04465,0.046975,0.1028,0.1034,0.086860714,0.191325,0.294875,0.39015,0.417,0.325825,0.237475,0.292116667,0.326766667,0.2362,0.392625,0.1728,0.090925,0.083375,0.18075,0.267208333,0.11835,78.8
2006,1,-84.93705398,40.74562106,38.8,46.5,0,18.5,1.2,40.3,97.5,109.4,39,95,63,65.9,44.9,63.9,102.7,128.3,17.64,11.36,-0.57,6.21,2.92,8.06,18.14,20.77,6.59,0.47,-6.88,-1.35,-6.42,-1.71,5.25,9.43,9.5,53.2,53.2,65.4,65.4,65.4,65.4,65.4,297.155,296.715,303.355,304.595,302.385,299.91,299.075,300.4557142,280.035,286.61,290.415,293.325,290.23,286.6,299.91,289.5892858,0.124625,0.192575,0.0932,0.0466,0.049625,0.09185,0.1368,0.105039286,0.233575,0.311525,0.3602,0.489875,0.41975,0.280925,0.301766667,0.39685,0.2859,0.24775,0.223175,0.120575,0.102075,0.1715,0.252275,0.131383333,70.6
2007,1,-84.93705398,40.74562106,63.6,34.9,26.2,0.8,0,44.3,86.5,72.6,119.6,55.8,115.1,122.6,45.3,113.3,95.6,32.9,15.38,10.67,6.73,2.23,-4.14,11.76,14.44,25.06,4.09,1.45,-1.58,-4.84,-13.08,0.82,3.1,11.12,64,65.4,65.4,65.4,65.4,65.4,65.4,24.1,292.11,293.895,302.46,301.975,303.76,302.36,296.155,298.9592858,278.635,287.765,289.91,291.065,292.39,287.755,302.36,289.9828572,0.11625,0.18735,0.066025,0.036275,0.0522,0.1298,0.123208333,0.101586905,0.224475,0.3179,0.357725,0.5067,0.413675,0.26015,0.300033333,0.393508333,0.25685,0.338625,0.172725,0.0829,0.101,0.2094,0.256066667,0.1311,59.6
2008,1,-84.93705398,40.74562106,68.3,43.9,2,0,0,28.4,90.3,119.7,61.9,98.1,108,61.6,130.7,119.3,71.5,121.1,21.03,9.7,2.72,1.3,0.33,6.25,16.87,20.16,9.29,0.11,-3.99,-7.85,-8.2,-2.73,4.22,8.02,28.5,65.4,65.4,65.4,65.4,65.4,65.4,60.7,291.875,297.115,302.035,301.95,299.505,295.935,297.0083334,297.917619,280.37,281.315,290.645,292.425,290.78,285.145,295.935,288.0878572,0.133325,0.103575,0.0978,0.051225,0.032025,0.0527,0.111566667,0.08317381,0.23445,0.21665,0.261125,0.376175,0.465775,0.31715,0.237408333,0.386366667,0.27685,0.229675,0.2197,0.1273,0.083525,0.096275,0.242075,0.102366667,71
2009,1,-84.93705398,40.74562106,47.6,37.4,0,0,0.9,59.1,83.6,104.3,47.7,47.7,121.6,33.6,74,106.1,138.9,76.6,17.78,8.47,2.66,-3.21,3.3,11.45,15.54,22.18,4.73,-0.72,-6.73,-12.61,-6.63,-1.12,4.25,9.68,10.6,18.5,18.5,18.5,29.2,65.4,65.4,33.8,288.19,298.825,301.22,298.03,297.86,295.39,296.0783334,296.5133334,275.835,285.11,291.98,290.535,289.185,285.16,295.39,287.5992858,0.196575,0.1047,0.0893,0.0759,0.032175,0.059825,0.130191667,0.098380952,0.2796,0.241025,0.268225,0.369875,0.471025,0.3519,0.26295,0.3976,0.2315,0.219825,0.19195,0.123225,0.076,0.096125,0.214425,0.09845,76.5
2010,1,-84.93705398,40.74562106,61.2,35.3,1.2,0,0,48.5,94.2,112.7,130.4,29.9,69.4,23,39.1,82.5,71.2,138.2,14.74,12.16,1.91,-1.64,-1.03,11.02,19.64,23.02,4.62,2.51,-5,-8.35,-8,-0.27,6.28,11.88,65.4,58.4,62.8,62.8,62.8,65.4,40.4,59,294.505,300.375,302.225,301,301.265,297.95,299.035,299.4792858,281.7,285.72,291.9,295.495,292.45,285.845,297.95,290.1514286,0.12245,0.123075,0.08125,0.07655,0.0495,0.08855,0.108925,0.0929,0.220075,0.240375,0.27035,0.350525,0.37625,0.306525,0.2436,0.344433333,0.21895,0.288,0.17485,0.135725,0.1124,0.150225,0.227266667,0.132783333,55.2
2011,1,-84.93705398,40.74562106,29.7,46.3,0,0,0,44,74.1,93.7,28.8,113,23.7,41.4,101.1,89.7,174.9,137.8,19.62,11.57,-1.2,-2.43,1.62,8.24,16.06,21.72,5.88,-0.69,-7.55,-9.74,-7.12,-1.66,4.76,11.24,10.6,65.4,65.4,65.4,65.4,65.4,65.4,65.4,294.585,299.495,298.92,303.09,303.055,299.375,297.6666666,299.455238,278.625,286.31,293.21,295.67,291.69,281.955,299.375,289.5478572,0.113825,0.09245,0.08465,0.04045,0.05465,0.138425,0.096975,0.088775,0.234775,0.206975,0.338075,0.41785,0.402,0.267775,0.259941667,0.362541667,0.242325,0.22185,0.15985,0.0882,0.102925,0.2199,0.208008333,0.137008333,57.6
2012,1,-84.93705398,40.74562106,74.2,46.2,19.4,1.2,7.9,66.1,83.9,61.3,83.5,149.6,109.4,77.2,41.7,82.4,58.5,47.7,17.87,12.43,5.47,3.2,4.82,15.7,16.54,25.76,5.58,3.07,-1.44,-5.47,-3.92,4.07,3.71,12.48,65.4,65.4,65.4,65.4,65.4,65.4,37,21,296.715,303.745,306.795,308.495,306.535,297.385,302.4183334,303.1554762,281.355,288.035,290.86,294.87,289.665,282.79,297.385,289.28,0.1426,0.146525,0.09285,0.06335,0.047175,0.09065,0.127325,0.101496429,0.268075,0.29205,0.339675,0.3971,0.335,0.24895,0.299933333,0.327016667,0.36325,0.334675,0.212125,0.14765,0.1063,0.19315,0.30335,0.149033333,74.7
